time,cpu-cycles,instructions,l1d.replacement,icache_64b.iftag_miss,l2_rqsts.all_demand_miss,longest_lat_cache.miss,br_inst_retired.all_branches,frontend_retired.itlb_miss,itlb_misses.walk_completed,dtlb_load_misses.walk_completed,dtlb_store_misses.walk_completed,branch-misses
0.100123822,391442619,838033474,4672892,1938487,4101309,3950947,127387471,7095,12294,14745,529016,307806
0.200384251,458722014,824494445,8012511,724536,4206029,4924493,166774863,1057,5446,21253,859907,229381
0.300599266,458090406,968199504,14803958,2033882,3543501,4925686,142838756,6231,12585,31901,345347,190192
0.400817284,458921423,2440757647,36134878,114897,3041511,980581,567382444,1318,1610,2881,103308,96542
0.501014611,459421503,2665878574,36380102,13650,16107,48206,739118039,24,51,15,100,43623
0.601216141,458858320,2392288441,38461642,170000,4618137,1947674,584919394,1305,1037,1081,15438,58301
0.701458724,458847684,1084674098,32776641,201392,2150988,5003865,104320346,433,1117,7523,296073,951804
0.801654537,458740876,1272531630,35550199,51569,1244448,3732084,110833436,73,501,7004,54262,1026494
0.901886487,458917064,1244869035,36994416,103802,1707270,5990148,108548049,117,425,8216,85929,1195249
1.002114525,459240154,1143610161,26247211,57781,676078,1566667,110097218,55,138,2840,21050,2767022
1.102338170,459091743,1007317259,17697188,85910,2775519,5397675,146871006,627,1462,23278,90221,681145
1.202557734,459354710,978000583,16182166,61995,1154026,1661141,157073984,69,2197,5487,98405,536462
1.302784843,459198969,1197903730,8146751,29438,654145,2061120,236808816,90,1137,188855,25049,1397249
1.403003005,459106536,1048895406,8254075,519944,1624860,523524,123452839,4962,15832,55535,16765,589727
1.503226149,459231247,1059143928,8395680,514489,1669167,174581,123582360,5170,17675,54187,16529,583868
1.603443404,459227811,1060840963,8399946,515184,1654004,138612,123988150,5101,17059,53298,16780,565897
1.703647204,458918786,1053505972,8269492,499285,1637946,181996,123050967,4963,16623,52630,16793,605839
1.803869519,459314579,1059618095,8278800,526652,1662218,135238,123651539,5011,16374,53124,15670,572762
1.904078228,459151843,1056486984,8298107,517661,1700431,145197,123507924,4904,19135,53759,15954,606486
2.004294631,459324977,1056779876,8521553,513429,1652138,141814,123545356,5151,15265,55107,16732,605907
2.104521435,459019941,1055759474,8183728,522113,1646789,204016,123097939,4659,14987,46985,15207,566338
2.204724549,459184946,1057321146,8298538,508035,1649147,152412,123434586,4833,14443,42428,13878,577726
2.304929463,459249105,1057956536,8466107,528648,1657735,141043,123414499,4912,15449,46689,15711,639919
2.405141801,459085646,1055838502,8232336,513357,1662499,185319,123348849,4850,14132,44330,14111,571337
2.505353732,459272100,1058384319,8312299,514995,1642138,134000,123559114,4845,14545,45554,14822,581175
2.605569914,459188333,1054947978,8430819,516782,1655585,167040,123097027,4711,14454,47673,14993,602398
2.705795824,459074964,1056324100,8123141,513840,1655749,184949,123002392,4750,13161,45529,13985,553831
2.805986259,459274118,1057652269,8452519,514023,1648861,139358,123351130,4768,14292,43336,15494,588475
2.906212020,459197639,1057083616,8601449,531842,1665392,137621,123344968,4936,13552,46356,15118,573693
3.006422681,459341360,1056587888,8279224,518473,1686992,133021,123530521,4983,14269,45558,14494,640193
3.106632777,459293909,1057379171,8340186,519867,1668515,140166,123301695,5051,13428,44663,14812,564619
3.206856714,459209371,1057615840,8536080,523020,1679921,134842,123540630,5071,13742,47085,15010,565055
3.307070660,458901901,1051167183,8399713,533852,1674065,208225,122618561,4815,12904,46495,15372,566706
3.407286304,459186293,1053745993,8425774,519401,1658241,185563,123158538,5122,14231,46591,15108,591231
3.507508386,459183629,1055981469,8580539,518215,1643861,141681,122989164,5001,14986,48400,14151,584812
3.607719085,459188833,1056486592,8456056,529660,1677997,137324,123334019,5039,13820,46784,14916,565548
3.707936966,458833510,1053700448,8391167,506893,1701652,157011,122852579,4842,13598,46312,14338,582162
3.808156454,459184344,1054364417,8738291,507803,1712561,174670,122925649,4967,12774,47959,15539,576141
3.908370904,459234383,1056873366,8653412,526911,1704320,135687,123297760,4975,13618,47367,15776,572197
4.008569567,459257674,1056785620,8490187,507121,1732224,141910,123379248,4820,14696,46542,14494,539156
4.108780844,459130779,1053508498,8630501,505993,1693448,151730,122854909,4542,12779,49414,14911,553732
4.208995132,458650840,1049431913,8621106,509248,1711492,240037,122388123,5303,15397,51369,15765,579994
4.309214847,459147025,1054168200,8607636,524240,1681635,164379,122970914,5214,14291,50182,14773,566372
4.409413009,459122657,1052481086,8871005,508816,1692196,165663,122777830,5148,13283,50604,16754,578840
4.509622567,459075001,1051687486,8772446,533355,1760203,176310,122857202,5058,14489,50108,15049,601893
4.609842174,459220144,1053810581,8609546,514449,1726290,160052,123343747,4828,13489,51010,15302,572953
4.710050836,459264257,1050322092,8774387,522761,1738171,189660,122730238,5065,13510,50394,14616,548748
4.810257491,458447638,1045481599,8699341,509277,1695729,192438,121998900,5090,14361,51364,15047,561842
4.910471512,459248814,1052887717,8832319,507903,1726769,155732,122931642,4932,13135,52337,16104,584991
5.010679147,459246460,1054458093,8787724,522103,1708106,144149,122666445,5032,13893,54177,16530,553000
5.110889208,459238182,1053994938,8882004,534014,1746113,188330,122662018,4923,13701,52522,15634,572504
5.211103524,459023517,1053764947,8793935,504495,1759605,181353,122935337,4830,13871,53225,15277,600434
5.311309274,459178265,1053346417,8925488,490526,1753715,143832,122937831,5137,13004,53825,16890,583141
5.411524116,459254337,1053985689,8771589,506828,1764876,172447,122777632,4955,14035,54216,16193,549950
5.511746435,459182812,1052028864,8876698,500142,1754054,173765,123092435,4844,12844,53846,15515,555034
5.611957452,459258892,1052594733,8865640,504868,1771511,150384,122991596,4741,14030,54775,15461,533630
5.712173535,459287539,1053974612,8803459,513018,1792249,148557,122955236,4894,14454,56519,16297,572641
5.812364999,458836823,1054628913,8890833,501124,1784674,156511,123301404,4792,13314,54462,13908,575188
5.912575165,459037793,1051685951,9061276,539503,1784057,200143,122539437,5138,15798,55905,14716,530590
6.012801016,459358506,1054166060,8895729,509500,1793825,150023,122922586,5063,13931,57628,15667,568212
6.113006977,459131532,1053394739,8982888,499623,1776929,189390,122799025,4908,13989,55412,15443,564853
6.213210343,459223925,1054841172,9129057,513737,1790187,185964,122796453,5166,13611,56053,16012,545486
6.313429399,459232043,1054229156,9006569,493540,1786073,157444,122999516,5056,14742,56504,15461,551347
6.413639954,459028738,1052808895,8902428,502049,1767347,164723,122996777,4917,14620,57752,13275,561803
6.513843617,458280301,1045258224,9299855,508630,1793840,215246,122151396,4942,15387,54790,12797,559833
6.614062878,458906557,1044725194,8889136,498085,1746510,300079,121681979,4999,15741,59765,12634,580984
6.714275536,458803316,1049688909,8820685,509585,1777668,203771,122784525,4584,14809,57850,12054,560780
6.814476809,458535740,1049668660,9282397,511205,1819345,151746,122746287,5110,14610,60465,12679,599864
6.914817303,459762294,1053170056,9099725,499037,1756907,201534,122785525,4758,14563,56915,14036,552078
7.015012344,457820968,1037895843,8857580,495706,1785677,248740,121276180,4708,13520,56367,15459,549747
7.115221834,456015820,1012591219,8889255,501383,1805952,441816,120077448,5083,13004,56757,15612,574559
7.215430053,459202023,1054373561,9053821,498402,1763374,178826,122613062,4920,13606,57274,14793,583384
7.315647907,459058925,1047422935,9128039,515229,1817346,197855,122170935,4853,13676,57826,15009,592081
7.415869134,459191623,1050481028,9110125,502287,1788314,177240,122646477,4932,15101,57976,14698,602569
7.516077933,459152198,1049176106,8878397,505604,1801460,230169,122262834,4729,13370,56746,14836,623227
7.616281916,458729717,1043844879,8957332,520106,1795529,257026,121984046,5049,14025,56183,16244,584301
7.716501260,459158204,1050548169,9088868,504739,1798708,146052,122716008,5000,15263,60130,15625,606202
7.816678761,458554562,1047545377,9024564,513938,1786168,135751,122281972,5056,13376,54892,15727,622680
7.916886055,459085957,1049851001,9031452,541112,1760737,167989,122122495,5357,16254,58418,15036,630773
8.017107939,459257935,1051140379,9100246,511415,1825296,151430,122997981,4924,13513,58475,16978,653746
8.117320392,458886669,1047891712,9034942,508155,1773753,180730,122153063,4980,14149,57031,15198,645520
8.217538972,459188824,1050570029,9076010,513108,1739492,191887,122276289,4841,14326,56497,15471,674287
8.317746323,458946343,1044635999,8905476,519207,1795033,211553,121998952,4787,15157,58254,15544,632167
8.417957232,459178689,1051348021,8912444,523737,1802511,149464,122901468,5000,14146,58088,15516,641357
8.518179285,459284155,1052142593,9003092,489581,1767748,142228,122937553,4817,13604,53560,16085,729888
8.618390746,459225213,1051905769,9021121,523187,1764576,176699,122475904,4842,14758,58544,16203,674525
8.718607069,459064926,1037210836,9138410,500071,1739770,537111,120310013,4531,14972,54969,22039,643693
8.818837485,459055716,1054046524,17073695,6454280,1687464,1694156,166778952,13333,2278,25973,34451,238846
8.919075023,458646771,1010843792,27895092,1301550,2638360,5371155,103785105,294,745,24142,147278,565868
9.019308693,458973069,1207385157,39286046,52621,1380039,4544733,108387592,54,333,6470,33249,1053618
9.119546461,458855561,1242705721,35203706,37177,1152627,4028395,110573890,69,332,8070,40780,1035471
9.219764714,459156227,1141073143,27140887,45606,1094320,3896097,116141871,27,334,5355,66994,2653280
9.319971459,458790628,1091602464,15405327,60406,741743,3000429,212546413,247,655,115915,74756,1347571
9.420204531,459286029,977767978,8181604,2437200,2066954,1661872,172286494,15914,29610,119837,12642,1057334
9.520429204,459267324,914344993,9041772,3291345,2868355,726145,135618410,26216,46159,4698,6434,1288283
9.620663563,459129255,910616433,9066185,3252999,2827663,730108,135698276,25770,44366,4973,6430,1313523
9.720882140,459047303,918658008,9149871,3233638,2797285,737132,136279832,26100,42983,4100,6290,1160380
9.821076036,459003841,919187804,9126980,3207485,2765567,726356,136356492,24675,41774,4569,6255,1162834
9.921298483,459223117,912008550,8992606,3197197,2780497,708630,134614415,24944,43357,4024,6518,1307166
10.021516624,459325044,1021202604,11106676,4895478,2167203,1064029,155220246,20345,24328,12687,7396,894837
10.121734427,458966951,954734565,20348056,3492244,3456522,4716410,123814367,5307,587,34042,270871,295420
10.221992505,459285089,1265720617,35710075,40820,1282917,3735536,111320989,0,124,7879,43794,1055953
10.322230369,458975806,1253575897,36342849,50668,1444904,4842262,108953360,58,208,6085,27898,1083958
10.422469520,459084839,1211030014,29685865,43486,1205349,4039940,116344511,117,439,5410,52254,2156540
10.522704102,459258925,1109801935,17587493,77710,1312492,3390332,136956992,99,642,53368,79926,1986955
10.622918455,459115657,1125696507,7107874,1044476,1153489,2230042,219079371,8987,20253,102342,12259,1593576
10.723133720,458944158,914429176,9028926,3284044,2848396,719423,135490882,23621,47073,4436,6113,1304961
10.823359008,459273702,914428285,9097619,3250431,2827940,719692,135477244,24375,47921,4503,6362,1252886
10.923578876,459062381,916016111,9130536,3222657,2790908,730542,135919797,24267,46792,4222,6570,1184147
11.023824528,459280515,918443412,9079200,3211052,2787032,728774,136046137,25067,43050,4712,6149,1138340
11.124058189,459293236,915328031,9017146,3185319,2761288,717213,135476500,23127,45907,4303,6231,1220505
11.224289885,458968067,882528052,12232674,3058118,4058684,1801371,124940317,17789,38584,11368,25479,1111224
11.324559097,459369121,1077096627,13506576,6565605,2007494,2260917,162627701,16946,1289,37049,29905,250854
11.424844672,459092566,1117012770,33452295,211353,2465784,5044931,106028785,25,605,8748,222374,810569
11.525090399,459103412,1275813974,35897799,50379,1316952,3987839,110622806,0,139,5793,29147,1200210
11.625331747,459005726,1234687081,35049585,44589,1363190,4602534,114083136,64,200,8739,68748,1067602
11.725553766,459283974,1125748600,24846193,44777,770433,2062219,111395524,23,198,2056,1990,3115074
11.825770510,458114672,1193159003,7360856,36830,1150700,4683395,232453258,166,510,135784,61197,1418392
11.925994595,459292895,1110228800,24086386,1718730,5316214,857640,148798331,19423,52150,95853,28538,1684438
12.026215020,459180593,1104025501,24824200,1936105,5991148,572112,149881222,21360,55715,81742,26012,1639116
12.126430431,459152037,1101595714,24841912,1962676,6106537,553508,150074351,20725,56690,77337,25084,1630040
12.226657181,459114205,1102343747,24963289,1933591,6170355,566847,150109273,21050,54467,77544,25523,1640548
12.326871018,458854041,1102501438,25144539,1988982,6252963,575825,150013599,20490,54375,78114,24912,1558766
12.427096568,459248166,1104547302,25288035,1935292,6295084,545608,150401474,21672,54466,78134,25596,1558071
12.527307997,458652793,1101159482,25242605,1917400,6217637,592189,150076918,20467,53352,79330,25707,1555515
12.627530430,459109296,1106324254,25225211,1906832,6214454,538818,150260437,20253,53230,78104,25835,1545854
12.727766873,459223741,1108978589,25383143,1902211,6291732,549152,150534333,20041,53360,79033,25954,1600898
12.827990983,459185776,1110982927,25416801,1869841,6332136,563313,150897382,20088,53506,80400,26065,1516857
12.928211252,459169907,1109846270,25330738,1897535,6298140,555303,150149421,20436,53158,79035,25183,1557495
13.028438940,459072481,1104220223,25201198,1904207,6316933,553207,149734852,20707,51176,77930,25287,1584564
13.128647948,459199984,1102940094,24757771,1857243,6178812,533827,149109806,20034,55510,78176,25734,1692974
13.228868350,459070364,1096343192,24405825,1868644,6055155,522055,147673526,19407,53156,76712,26449,1916103
13.329108004,459142426,1068942348,24183159,1824417,5874007,1037790,143834884,18194,50800,72608,30561,1807575
13.429372106,459264375,1035390311,19226954,6556637,1600566,1547287,167537598,335,7750,37740,27806,214221
13.529645153,459319606,1059258957,29701930,202682,2508112,5174292,105525050,32,515,12331,165671,630656
13.629908047,458807742,1258363178,39593212,55910,1345831,4417797,109353210,0,115,6485,24176,1092000
13.730147997,459141718,1195047791,36108209,45773,1286266,4373538,111442970,0,93,8962,69110,998245
13.830364421,459254214,1183783862,27005182,45243,1040159,2745674,116216655,21,193,4699,3871,2960226
13.930613317,458725930,1136077449,10889146,40701,509360,3692842,230927834,199,458,133343,62127,1415655
14.030829688,459198056,956716397,8981224,2560084,2239857,1489184,142686095,19375,44348,29260,10111,1200785
14.131065054,459297822,913329919,9070301,3285339,2876921,724336,135458379,25198,46038,4689,6164,1290590
14.231290147,459357391,916057738,9116367,3258028,2843420,732455,135860998,24329,46454,4851,6575,1210192
14.331514285,459259105,917298875,9118242,3219696,2817575,739750,136280680,24697,44305,4534,6431,1139032
14.431742775,459268783,912239084,9030880,3161589,2771468,734338,135810473,25812,42322,4887,6791,1260811
14.531965520,459281213,910723370,8942518,3192830,2792442,708258,134572530,24014,49691,4984,6525,1320498
14.632173973,458786145,978510663,14364572,4863425,2175959,2095333,149341034,17883,16807,15684,22786,610317
14.732416268,459143952,927666611,19441158,3476680,2714676,4388701,128582872,3537,746,32863,151280,316953
14.832630337,459055007,1251634964,38041867,43425,1251347,3396588,111581619,55,258,7083,54224,1043875
14.932872163,459110129,1269350510,39762291,49741,1370409,5133002,107134797,12,136,6989,23749,1070487
15.033101063,459159236,1206906873,32175884,46965,1284459,3971835,119335768,28,362,8664,56835,2010124
15.133318942,458987575,1078228472,19149942,50793,608523,2903510,141632277,147,476,46674,54601,1965124
15.233548357,458947494,1200538711,14133064,690165,2115056,2281308,223002799,7406,18525,144316,26176,1817737
15.333767352,459131934,1105082390,24788815,1941187,5994257,552995,150141073,20873,55756,79620,25727,1610108
15.433980544,458906957,1103103303,24907753,1948030,6053013,560083,150011232,21076,53796,78026,25790,1549011
15.534212625,459285273,1103934477,25047002,1975170,6175151,541618,150336940,20897,56794,76923,25915,1653899
15.634432861,459190252,1100050249,25072462,1946457,6201180,552913,149905342,20951,54005,78627,25194,1603219
15.734654881,459107439,1103425888,25283081,1988000,6326439,586604,150267114,21230,58746,79120,25080,1553992
15.834872882,458866419,1100654487,25269295,1932435,6235422,556393,150020514,21160,52894,77402,25292,1595553
15.935099631,459120886,1102672810,25177677,1918761,6201866,571153,150043639,20995,55111,78378,26026,1565006
16.035321645,459231648,1108225420,25332887,1942343,6276336,547966,150230447,20601,53424,78598,26152,1590700
16.135557649,459221944,1110717992,25536736,1921829,6314460,543592,150632577,20586,56512,79549,26072,1549444
16.235777770,459264910,1110152094,25418660,1887684,6344223,567814,150652025,20673,55185,82305,26565,1524450
16.335996150,458985914,1097338526,25107670,1910334,6327094,544145,148789420,20208,57991,79813,26025,1827442
16.436215621,459231452,1103378005,24949788,1864609,6223796,548052,149096026,19952,51084,78140,26111,1649356
16.536432368,459143842,1098282163,24639356,1910078,6174976,511416,148385150,19627,51651,79841,25823,1765173
16.636657887,459249586,1089326418,24133004,1839765,5907798,503940,146621511,19479,53827,77030,26060,2103063
16.736872018,458978064,1030100350,23538074,3972743,3700740,1262045,156853150,9656,27451,50078,33621,1080932
16.837082888,459056830,966583042,19449393,3448068,2633286,4376986,136876675,67,3002,35791,49854,330510
16.937325390,458918772,1242713053,37547411,50569,1301401,3394736,113598875,0,170,5814,98759,1032331
17.037605035,458074150,1237975634,37630582,45918,1361404,5377256,104856450,73,228,9003,55953,960443
17.137836736,459010289,1189193022,33788981,43320,1473876,4428509,119844245,90,329,8551,81382,1545782
17.238069368,458957394,1046272603,24250135,50525,635476,2348112,120733096,65,306,36321,53458,2092194
17.338284305,457903418,1118527132,6885180,787512,760787,2657227,243803387,5326,10451,120948,16844,1520172
17.438492180,458820627,911946348,9023368,3296164,2900001,720943,135340641,25679,53826,4121,6101,1281731
17.538730167,458579100,912421503,9063795,3288825,2876072,722847,135352680,24450,50004,4427,6394,1262145
17.638952338,459154754,916090812,9121656,3255050,2830179,738758,136020329,24351,44909,4155,6488,1149724
17.739170862,459311791,916412202,9094058,3237640,2805848,737852,136113503,25013,44786,4298,6249,1195920
17.839398886,459095253,915928670,9085132,3198254,2797756,728589,135637789,25020,46549,4055,6032,1198182
17.939633027,459258111,889584082,10481112,3202518,2804315,984003,130407645,22731,43472,5008,11909,1306276
18.039919435,459267214,1044633306,18827868,6263981,1610242,1520487,177091648,10632,1620,34432,26886,221784
18.140189342,459103668,1049479496,30934160,188987,2419881,5136788,108119203,96,786,15976,134760,583720
18.240416043,459011631,1248242232,39913130,52663,1381387,4674591,106306137,45,172,5616,26762,1134614
18.340647938,458337403,1185995442,34483989,46299,1307113,4504451,107386254,59,140,8176,83063,975391
18.440850817,458951265,1173946937,27228646,39263,985748,2901928,116218530,24,152,5368,28231,2900754
18.541074147,458691657,1116125553,13582091,40302,555609,3407029,235717353,278,349,117845,60199,1260988
18.641300098,458913453,1105697532,23384960,1553818,4564393,1498221,157286864,15351,37955,104079,30607,1432713
18.741509247,459178390,1105726202,24956429,1941282,6038406,555342,150430988,20674,53970,78033,24753,1552422
18.841728454,458764356,1101599486,24848933,1979818,6175761,589395,150044277,20883,55530,79277,25439,1630946
18.941965250,458983877,1102349035,25119291,1963161,6161855,567360,150342040,20017,48080,44823,16702,1589614
19.042187160,458794970,1101174576,25079510,2000953,6313161,619839,150130725,20304,46022,41808,16528,1562532
19.142420427,458727165,1104371409,25314452,1940544,6238502,569591,150549519,20282,49249,40345,16181,1568748
19.242637048,459080476,1102612784,25247697,1932261,6206741,565161,150502618,20477,46591,42250,15642,1571466
19.342857989,458859397,1107736179,25219873,1927569,6211302,553162,150224254,19368,46289,41019,16713,1569985
19.443072547,459119342,1111278207,25393089,1898569,6247118,559194,150718132,20366,49227,42039,17224,1550319
19.543296883,459200626,1113154089,25460595,1867531,6317131,550923,150790362,19857,47656,41257,17244,1516929
19.643520801,458860006,1109982936,25320305,1890478,6292748,566282,150457070,19341,46001,41528,16459,1535593
19.743742462,459035006,1106637805,25200098,1886336,6280775,554407,150043313,19227,45017,41062,16256,1621506
19.843951270,458111454,1102617006,24853809,1897809,6222121,537938,148888741,19096,49038,42483,16779,1660898
19.944158085,458308469,1093113532,24232651,1869955,6023655,523821,147426684,18652,47532,40988,16846,1897095
20.044381524,457081415,1087736834,24016322,1828684,5900432,512920,147177364,18361,49639,40261,17446,1977848
20.144597856,458875712,1058411612,18839177,5863471,2584745,1464603,171400954,1854,9226,23327,24108,364934
20.244826062,459115186,1024259018,28162758,165018,2330316,5035247,110744820,98,1022,32258,142383,525369
20.345090506,458731898,1192377776,39298351,55349,1373419,4617140,107868758,54,282,6695,46069,1031317
20.445313083,459075117,1257135241,35254671,37715,1134865,4089227,110968722,70,167,7635,42208,1048231
20.545546458,459214569,1134988307,27301987,43024,1107440,3981573,116548064,109,360,5914,67688,2591338
